subject,violation,linear_interference,congruency,number,structure,feature,false_responses,total_trials,trials_per_construction,trials_per_combination,error_per_construction,error_total,error_per_combination
22,0,1,0,sing,pp,animacy,0,480,160,20,0.0,0.0,0.0
22,0,0,1,sing,pp,number,2,480,160,20,1.25,0.4166666666666667,10.0
22,1,1,1,plur,pp,number,3,480,160,20,1.875,0.625,15.0
22,1,0,0,sing,pp,animacy,0,480,160,20,0.0,0.0,0.0
22,0,0,1,sing,pp,animacy,1,480,160,20,0.625,0.20833333333333334,5.0
22,1,0,0,plur,pp,animacy,1,480,160,20,0.625,0.20833333333333334,5.0
22,1,0,0,plur,pp,number,1,480,160,20,0.625,0.20833333333333334,5.0
22,1,0,0,sing,obj,number,0,480,160,20,0.0,0.0,0.0
22,1,0,0,plur,obj,number,3,480,160,20,1.875,0.625,15.0
22,1,1,1,plur,obj,number,0,480,160,20,0.0,0.0,0.0
22,0,0,1,plur,obj,number,3,480,160,20,1.875,0.625,15.0
22,1,0,0,sing,pp,number,6,480,160,20,3.75,1.25,30.0
22,0,1,0,plur,obj,number,2,480,160,20,1.25,0.4166666666666667,10.0
22,0,1,0,sing,obj,number,1,480,160,20,0.625,0.20833333333333334,5.0
22,0,0,1,sing,obj,number,0,480,160,20,0.0,0.0,0.0
22,0,1,0,sing,pp,number,0,480,160,20,0.0,0.0,0.0
22,0,0,1,plur,pp,number,0,480,160,20,0.0,0.0,0.0
22,1,1,1,sing,obj,number,1,480,160,20,0.625,0.20833333333333334,5.0
22,1,1,1,sing,pp,animacy,1,480,160,20,0.625,0.20833333333333334,5.0
22,1,1,1,plur,pp,animacy,3,480,160,20,1.875,0.625,15.0
